Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-1857.2890209673833	-1689.3757393102662	-167.913281657117	0.10342775653348549	0.325744746913168	0.20657909542746639	0.3642484011258801	0.06855820581515416	0.04385668454794002	0.3358351183472852	0.5517499912896207	0.08045236511549972	0.16508125052941722	0.3512807079031676	0.40318567645191533	1.0740609815660804	3.5158160540219554	3.0388871932794546	1.167171145199054	1.0393740304003554	0.7942508774729669	0.00207850561859113	1.61964759194964	46.50092201341348	111.72745120058666	-680.3199145518696	-478.4978654495094	-530.5579593088871
25000	-1841.204796374033	-1690.9073411674403	-150.29745520659273	0.13422622371962087	0.31796635277099927	0.19324178004254902	0.35456564346683067	0.059704392349142904	0.05257265201680912	0.3385302502784795	0.5491927053555684	0.07387855046975267	0.127608002781332	0.3425732687730414	0.45594017797587383	1.2341318797143692	3.578329915365062	4.306581434365613	1.470361911757395	0.6472384407262108	0.8846394661438101	0.0017965638895097258	1.148618747915342	47.189956173395075	107.60133698828771	-673.947638254388	-478.08731864020115	-538.872384272851
50000	-1851.7112693711558	-1695.2931256554393	-156.41814371571647	0.07328139035981694	0.29669668247888503	0.2466366550287471	0.38338527213255086	0.06140767647520663	0.02344238542389058	0.4229242358942927	0.49222570220661005	0.06926405257219362	0.13574128749308573	0.31507478156443647	0.4799198783702842	1.6271121591391757	6.779609296817333	2.6816972926504095	0.8526486769151762	0.9382545398031505	1.2083951103146027	0.0016101877277160564	1.2348488689969805	47.3248605624535	112.51074389281474	-679.7573572005703	-471.42886333554407	-544.1069051193248
75000	-1841.8540677182098	-1683.8248473460474	-158.02922037216248	0.10772382395832894	0.299724079827281	0.23472988872122338	0.35782220749316657	0.06775896940182206	0.03709593395029685	0.38897766295087066	0.5061674336970104	0.059055786563449605	0.18437670985735247	0.326373895458704	0.43019360812049384	1.0195527153476849	6.9724564362519565	2.1113927032961444	1.0587313678307662	0.9711929443975488	0.9703553609518314	0.0015591552432919	1.3577497747565852	46.542840074795826	110.66497362554624	-678.4669390010832	-470.8055886485003	-534.5523196964639
100000	-1870.9591616752757	-1686.960658236172	-183.99850343910353	0.09577205238114264	0.38186040592885084	0.1895759887903015	0.332791552899705	0.07919748550566216	0.03585746995198946	0.4033693156669001	0.4815757288754483	0.05703102932385116	0.1463118361557468	0.304623896596328	0.49203323792407383	0.778542371525087	5.6053492143762815	2.020211724728801	1.2241683319326695	0.876737972325229	0.9001611639893987	0.0016289109568841718	1.6251156458148435	48.620421278546985	120.84864039847508	-677.052111817809	-473.91077544732747	-535.9977709710355
125000	-1857.0076365506432	-1690.3038251342148	-166.70381141642832	0.0768940106301766	0.32242927672461685	0.2678683065187687	0.332808406126438	0.08909111562907993	0.028514223479659123	0.3698604522925069	0.5125342085987541	0.05667281651974053	0.2069902321493478	0.3268410488678524	0.40949590246305906	1.621392451766437	5.6560679492145445	2.2522826171512214	1.255225040440646	0.7738599585529453	0.9721303583418386	0.0017332270005631823	1.4239604200515075	47.76687216978956	116.72207834021313	-679.8938005779149	-481.20464787172943	-529.2053766845704
150000	-1834.7825376237715	-1686.8332068049149	-147.94933081885657	0.08484912171958424	0.28213272144852763	0.245914348562974	0.38710380826891444	0.04505886605537826	0.017885495042202715	0.38028829219529514	0.5567673467071241	0.07108803869092044	0.16474955407734435	0.3115233206547804	0.4526390865769546	0.9901884365938601	3.946170792524116	2.559936346917577	1.3314199068979977	0.8059538382837754	0.8642044448510728	0.0016810661456748705	1.2506297722719564	46.48740889155714	104.58410029046651	-676.3526109169264	-474.6342953618891	-535.8463005260995
175000	-1848.3050502808558	-1682.9039886632916	-165.40106161756415	0.09102210754547213	0.3585998767483058	0.2220056764777696	0.3283723392284528	0.06019733377998906	0.04354929680195872	0.3905791034641309	0.5056742659539216	0.06355707873562223	0.16248047584404168	0.343296290165763	0.430666155254573	1.5879399649500983	3.9547882466542528	2.8630811145759933	1.342153948507767	0.9201135182146472	0.7393618377942878	0.00159711579989355	1.2432271650564244	46.201799378893135	110.61690277832086	-676.0648841706612	-471.3207084404791	-535.5183960521513
200000	-1857.0563577122582	-1675.8505893437841	-181.205768368474	0.13179388594737626	0.28870739263768136	0.22544464336462033	0.3540540780503223	0.08468706678892955	0.038306494974282346	0.3861556414284816	0.490850796808307	0.06395039256150904	0.14708228471041276	0.29375190974367144	0.49521541298440686	1.4759664302652187	4.41385363962764	3.186627502547523	1.1190615733505975	0.8394191313312914	1.042086255191207	0.0015493749702080555	1.4561095020615689	46.57916595648544	115.66821666055102	-671.6635929459504	-472.6525028365259	-531.5344935613078
225000	-1861.6994119472504	-1691.3763911771753	-170.32302077007506	0.1325228286525677	0.26613144942006706	0.2535538242094174	0.34779189771794805	0.05883122536514411	0.03181131242406958	0.43695421612943697	0.4724032460813498	0.06738123582095411	0.19171353444733108	0.32481579600915206	0.41608943372256285	2.6221965264228686	5.773015054211148	2.87596061876965	1.217493281174572	0.8545681343794249	0.9289742667373081	0.0014716275090810478	1.3420467460999113	46.30641472363668	114.71371897760456	-679.3675485137748	-474.25483060510965	-537.7540120582906
