Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-9859.829977550613	-9361.059517567819	-498.7704599827943	0.13802289584118654	0.2989132820804007	0.106675116311505	0.4563887057669078	0.14191162951857858	0.7313133947740187	0.08322836624765895	0.04354660945974379	0.12597157247943278	0.6227200942771279	0.04998146426560058	0.20132686897783886	4.11876634156757	3.1026575399846266	1.7610129135948376	1.1791725355850124	0.5993266155358696	1.2223540514295226	0.006300596589109624	17.582320498707297	86.71701693127551	476.97130083156213	-3584.4523099379926	-2164.8918726366846	-3611.715334993141
25000	-9859.344277973016	-9358.84024981119	-500.504028161825	0.1456280214055404	0.30025568365524635	0.09603089039230132	0.45808540454691193	0.17046115339610496	0.7228034219744093	0.06352433073735947	0.04321109389212635	0.11459042511492198	0.6469031513513157	0.05765097513295717	0.18085544840080517	4.652011754328316	2.511485781542198	1.6095827389571935	1.274980720938796	0.5869660587456952	1.1393626523199794	0.006502893920979642	18.50938345381579	82.89312449482615	473.0081348255272	-3578.3801177627074	-2177.5229810212145	-3602.9371510272667
50000	-9862.948442617344	-9360.219599696069	-502.72884292127463	0.1340865377371986	0.302882393730971	0.1158798289668478	0.44715123956498265	0.16458047920106322	0.7432551445045487	0.057996100404081874	0.03416827589030636	0.11769617756151916	0.6471553876194761	0.04804241671957079	0.1871060180994341	4.6629832336903885	3.640514346218541	1.7987953280935975	1.113671921049625	0.5832011187318614	1.3036682550806542	0.005982880123758041	18.790868988844526	89.83704921716159	491.2402962348981	-3583.8507011078445	-2161.516349443991	-3614.8525491442333
75000	-9852.393017498442	-9352.42370707375	-499.96931042468987	0.1488088990230697	0.30528873105222043	0.09376802857375274	0.45213434135095715	0.17297995428206517	0.7137189509825056	0.07501645648144713	0.038284638253982144	0.12325501990640061	0.6608146597101542	0.05899838387678036	0.156931936506665	4.7576132311693256	3.3328319181091532	1.6188207010332472	1.2346779116014657	0.5327259164934879	1.2337136857698145	0.0058609475302287325	18.009312169913454	81.92792233233831	479.1961680159173	-3573.5256052149307	-2174.857177333529	-3604.040924525292
100000	-9859.956208438485	-9356.416304740236	-503.53990369824896	0.1535479716862901	0.27175410476017614	0.10967947139940214	0.46501845215413157	0.14223284584050522	0.743976174452173	0.0677107788909283	0.04608020081639365	0.11168806666320631	0.6575140285273383	0.06006037109237318	0.17073753371708267	4.502916292790506	2.8739841977231935	1.4640260271278496	1.1344333048637327	0.651801145022185	1.214405708708671	0.005979473251573245	19.388754821026286	81.3787309298205	475.7514034802157	-3582.0345563300107	-2154.8166080196665	-3619.5651403905586
125000	-9875.919066153401	-9375.450566913456	-500.46849923994455	0.14521941070111843	0.28974516046425114	0.0905583158133876	0.4744771130212428	0.2029279896366406	0.6730744385622265	0.08151188194781256	0.04248568985332072	0.10757137199700839	0.6716358661291754	0.059600516582690465	0.1611922452911263	5.0615942242007606	3.386221862244034	1.5075327673264	1.1917054874852453	0.6512060822605727	1.1580013135279217	0.00612509114806377	19.190073941395358	83.29960903666438	474.32953976347204	-3595.1927586988236	-2163.4041283988117	-3616.85367981582
150000	-9851.325641721163	-9346.545714908105	-504.7799268130589	0.13262358488661719	0.2947162046203651	0.08884337979192289	0.4838168307010949	0.14192795326001495	0.7622039046758418	0.058471356315478853	0.037396785748664854	0.11695567958203573	0.646763095470258	0.06276169836458398	0.1735195265831228	3.9903835972095574	3.1862569718455895	1.4571186831259066	1.2329209519257895	0.5873804257049614	1.1808077697593717	0.0060703121051122536	18.614077626149825	85.07618051229854	484.7719851508664	-3586.2755988218005	-2155.8439573859864	-3604.4261587003175
175000	-9857.424159319515	-9348.696464342698	-508.727694976816	0.14746244150981755	0.30460663791910497	0.09168586524034991	0.4562450553307276	0.14712545693103735	0.7520396471031656	0.06343811021713257	0.037396785748664854	0.1082167556275308	0.6784615551432867	0.04532215490015604	0.1679995343290273	4.4314439898432685	4.144907994404051	1.4220795471029566	1.1888964302228804	0.6158661336387999	1.1961369429489042	0.005885507776627228	19.89788749084051	85.89924947167461	491.95889000675515	-3595.175108510776	-2151.2537270395815	-3602.2676287923405
200000	-9858.275027158725	-9357.264659015043	-501.0103681436804	0.14741698630765804	0.3212478146728298	0.07963816005106518	0.45169703896844715	0.15008083470613776	0.7324586991038091	0.08171738682189633	0.03574307936815716	0.12748834206632786	0.6615454941611161	0.043210796107405046	0.16775536766515192	4.156704135413681	3.4017563320163924	1.452815987722266	1.2290631415069302	0.5921449764809033	1.1798826588764848	0.006167566803790008	20.260158883591743	81.7877158073177	470.75623833980046	-3591.017047766077	-2163.8518665614333	-3602.395744687532
225000	-9857.073575205977	-9352.937948529385	-504.1356266765921	0.13781502886330627	0.2952832292836237	0.08918750436834087	0.47771423748472946	0.13685121614279516	0.7371016678985948	0.0743722553654053	0.051674860593204974	0.1307952117193802	0.6475805166933525	0.049143297755372746	0.17248097383189528	4.061145553445543	3.9238163262429233	1.54875492851193	1.1796948524562851	0.5915092188351951	1.2296516184821207	0.006261152235372651	19.807500557446733	86.10623992340753	488.43962412389385	-3574.6950674436193	-2170.8953051913304	-3607.3475758944355
250000	-9861.022094497406	-9363.646444050848	-497.3756504465578	0.159224870484856	0.30119842728529067	0.07875891417630544	0.46081778805354806	0.13267087048916826	0.7459467812617907	0.07623008618017771	0.045152262068863476	0.11434254163746409	0.6471863873721966	0.05794792829729088	0.18052314269304906	4.367190436188517	3.995231126430551	1.4802485044936606	1.258152873179535	0.6122060907979472	1.13087033541861	0.006131389784069427	17.20343043605016	85.64745287413368	479.90955205958016	-3603.5265027400924	-2162.760225775179	-3597.359715535576
275000	-9852.60533398729	-9349.189668940093	-503.4156650471969	0.1493128462947381	0.30053470309764196	0.08162986498630287	0.46852258562131727	0.13661070314255996	0.7585501806683934	0.06411958724562701	0.040719528943419715	0.12316424928526384	0.6357353387974458	0.06697623232426576	0.17412417959302487	4.277865066235381	4.023914506574674	1.5809005259107023	1.3177149808311661	0.5685811596858555	1.115216787963127	0.006190424405260342	20.87307069129212	81.4984738921255	474.0586910944901	-3588.9862367835003	-2157.553165108944	-3602.6502670476493
300000	-9868.010320456604	-9363.379206135463	-504.63111432114135	0.13243720060373704	0.29395561564305533	0.09534971120037868	0.478257472552829	0.16551090261422102	0.7292051135578796	0.06634310558473773	0.03894087824316183	0.11461016863543123	0.6470027287587713	0.058236168475201466	0.18015093413059635	4.191547181907109	3.7040746796582544	1.5867321579240883	1.2158910928560123	0.5550725701546562	1.2300643898124548	0.006441349164852741	18.817840460706474	84.03484488386545	486.79755823207904	-3590.8394148616085	-2168.3203075903766	-3604.219483683479
325000	-9855.670265986439	-9351.403464971681	-504.26680101475637	0.15177866257735567	0.30801325441110355	0.07531098239387636	0.46489710061766437	0.14041632442020793	0.7387455255012987	0.0737380653230211	0.047100084755472664	0.12512994355663018	0.6471771066514844	0.045869291473579404	0.18182365831830666	4.281332788806401	3.1193103578295767	1.7019122163893612	1.2819639427007714	0.5657010773123662	1.1536776654282934	0.006265982688181957	16.87773120860956	86.53178755593025	484.7523027932186	-3589.8046897849345	-2154.7633848185237	-3606.8353903682223
350000	-9887.865759366234	-9387.398206466092	-500.4675529001415	0.13087588438343592	0.3137690958123953	0.08118733891497967	0.47416768088918904	0.16329820862402705	0.7048571955224809	0.07771252392839692	0.05413207192509544	0.10992875670452497	0.6498095048699195	0.06432877526524425	0.17593296316031204	3.6434848354095344	2.5193499837812316	1.4604962849216971	1.2481240938528424	0.5963333002504726	1.156724149200746	0.006288488579197855	19.72307052092473	75.93043552686167	457.3222649045007	-3603.098095973054	-2170.3794034570656	-3613.9207070359716
375000	-9857.03967694064	-9357.248229310098	-499.7914476305409	0.147582013010257	0.2688885628961057	0.10246234072915984	0.48106708336447734	0.14229382289712772	0.7604000542108967	0.06452610375037793	0.032780019141598	0.10915311968514724	0.6606191541999522	0.05402081041502576	0.17620691569987545	4.328309858902395	4.220482274348169	1.7723927044424845	1.1907126590160482	0.6339316017735359	1.1762638947295392	0.006279950114896937	16.82109907204466	82.35392601917191	467.6542651263464	-3579.6999989059573	-2165.8054330613063	-3611.7427973428344
400000	-9859.633926741833	-9354.521585350363	-505.1123413914694	0.1503506749522689	0.3023878856286511	0.09789235621718478	0.4493690832018951	0.1530646920122818	0.7333960404705625	0.06271228476218334	0.05082698275497278	0.09451392395732688	0.6853498313693895	0.048705685339345224	0.1714305593339389	4.7264356999386825	3.3167911624151873	1.6334192457206809	1.262076949210118	0.6297053509122511	1.1094656853500589	0.006360439715033379	16.372385944371242	78.92093682523064	475.3851043773393	-3586.544816801867	-2168.8593046021865	-3599.1174639463106
425000	-9849.413053232485	-9344.031417995786	-505.3816352366991	0.1475055910346516	0.29816622936053344	0.08603988176573583	0.468288297839079	0.1533500052088738	0.7379182868014772	0.06588563669791692	0.04284607129173247	0.11847232230335057	0.6421700684808384	0.04528793856095746	0.19406967065485417	5.2806643582820305	3.7973067962064406	1.3728232289989217	1.2649364156998968	0.634787951837834	1.1015372344417913	0.006044018357844895	21.041769525365478	85.10541281907892	482.01748564763	-3587.8900224600175	-2152.826318041716	-3603.3150774940514
450000	-9860.122442130543	-9363.580945186724	-496.54149694381886	0.15824126678942346	0.2885192996985229	0.07432686794474064	0.4789125655673127	0.15907935266354406	0.7323649185834207	0.07120797007730965	0.03734775867572597	0.10399774241892351	0.6484826137273034	0.05279881661490541	0.19472082723886833	4.605900783667054	2.9474847638556105	1.263378564482489	1.2012033071922208	0.6088860136154607	1.1908687901789465	0.0060703848381224255	20.042526090774462	80.48540520429725	462.7100944225392	-3589.083386889117	-2154.995976276913	-3619.501582020694
475000	-9843.949471275198	-9355.79260664929	-488.1568646259101	0.17397248998913406	0.2942501104574975	0.09073933781467902	0.44103806173868904	0.15003214276677448	0.7412407753074218	0.0716580008500423	0.037069081075761776	0.11277048452255854	0.6587596460610997	0.0625053881043566	0.16596448131198596	4.682888776536875	2.935237739713277	1.6334907047164406	1.1949235477971554	0.6265366553441619	1.1794680042291432	0.006567196165802949	16.59005276638835	75.2085818189867	435.4176992719426	-3588.774248133955	-2157.277361527394	-3609.7409969879404
500000	-9852.448746510001	-9349.224881944696	-503.2238645653054	0.13960554608457848	0.2849117687498562	0.08858563522267372	0.48689704994289135	0.14172918563574116	0.7504709805487426	0.0706717545218964	0.03712807929362006	0.10757982779825921	0.6556768854510101	0.04470593279536736	0.19203735395536428	4.151436919574388	3.488434233104603	1.5337778912679192	1.1815470242648074	0.6287446011402481	1.190572884234299	0.005973882025540135	18.581436892707245	89.54211800359711	491.45479864448214	-3580.4005065134843	-2160.5270034692553	-3608.2973719619563
525000	-9876.152732253433	-9367.721404421223	-508.43132783220886	0.151176403158981	0.29181401490050446	0.10132876285237924	0.455680819088135	0.14552082426663898	0.7511414041545412	0.05780717200794701	0.0455305995708731	0.10307715466678341	0.6580832952530227	0.05639174972499327	0.18244780035520186	4.544899884224354	3.816637861344203	1.5962842746932853	1.1770776109537144	0.6236231485211807	1.2001424672439303	0.006142740580951551	22.873454267324412	87.48174086478035	483.4768607861899	-3585.9020564250004	-2168.482445079723	-3613.336902916499
550000	-9861.947825801784	-9369.963967961217	-491.98385784056615	0.15768850240083254	0.2902233911543052	0.11277057476681156	0.43931753167805043	0.1272705381339852	0.7619787324342265	0.07170573707658603	0.03904499235520227	0.10477542605449333	0.6620784523983486	0.05967479087651443	0.17347133067064477	4.051272280211101	2.722293394836336	1.5064725846310068	1.1704019551279252	0.610196157091753	1.2202133256618817	0.006516243541044991	17.25983665881527	75.50498404760683	440.181180718984	-3588.807775566087	-2169.2783452998256	-3611.8778470953043
575000	-9840.681628725688	-9348.507207840395	-492.17442088529333	0.1419698236267285	0.3176183463128732	0.08767984316122801	0.45273198689917	0.15821849763633847	0.7124092256663257	0.08701713919823384	0.04235513749910202	0.11524245100899509	0.6587059678003457	0.06557120254013821	0.1604803786505219	4.046528661256656	3.10894235028608	1.7857714766636839	1.1638213648665856	0.5975856296468061	1.2393731072240666	0.006277661767848818	17.471138351965546	74.87571527454088	451.25979171826907	-3584.806465373038	-2152.3756133132983	-3611.325129154059
