Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-5029.3702051869905	-4628.9471218746885	-400.4230833123016	0.3401566041569814	0.22718464008172679	0.3348663383392599	0.09779241742203204	0.10574929997807898	0.35017326301825863	0.24592769158200017	0.2981497454216623	0.6207879492478492	0.21014347501291478	0.09072876632657578	0.07833980941266015	2.2464934643680947	3.1505594018543746	1.8698385949237328	0.8166207008057894	1.5187734831044264	0.6637325813317166	0.003310603090824371	8.556509016386533	46.965899462495855	270.61662826757083	-1393.1213537515807	-2030.001767696334	-1205.8240004267736
25000	-5039.663968709196	-4634.610352976008	-405.0536157331884	0.35178318727926894	0.21220252859362299	0.3296826564528715	0.10633162767423684	0.10301066939465287	0.4239450978849163	0.18132932968585896	0.29171490303457187	0.5930524900279462	0.22037842178658312	0.12284683055598346	0.06372225762948708	1.7737384411015005	3.0391995323246324	2.1591658140927095	0.9727436792114412	1.2466884460202188	0.7804380827645846	0.0036089089691471506	8.028786836901178	48.337147642312	277.5795339607157	-1394.7067451355854	-2034.0741471275758	-1205.8294607128469
50000	-5047.212936609517	-4642.584996452623	-404.62794015689326	0.3542275635233942	0.2034316965181011	0.3623472132764675	0.07999352668203749	0.10187786710144042	0.3448588368834405	0.25543581490677725	0.2978274811083419	0.5855892194666864	0.22888276441258254	0.09313559404704093	0.09239242207369	2.4102987022883533	3.0391501489638	2.2342200457390855	0.8359966662501845	1.3576800685055728	0.8055422969882909	0.00370308340669237	9.421923719756743	46.023533204522934	262.12298430420424	-1396.8741825838001	-2017.0589067826663	-1228.651907086157
75000	-5028.7402296743485	-4629.317460198843	-399.4227694755056	0.35157928911646275	0.1754879222263349	0.35631993925822175	0.11661284939898096	0.11762241779318537	0.3622832066136542	0.2575557608895295	0.262538614703631	0.634712503220772	0.2268674023027373	0.08738042126302159	0.05103967321346896	2.295037516159957	3.33784155522533	2.1265259720930842	0.8580501495706337	1.3932730446891657	0.7480008540714889	0.003179884684834349	8.667849415669712	46.270360344451944	268.0041714298026	-1391.8165762575693	-2029.2142053177781	-1208.2866786234954
100000	-5015.593984212075	-4606.9319959286195	-408.66198828345597	0.37444012197641174	0.20573645061865836	0.3305632736871957	0.08926015371773445	0.1058142489270749	0.3636707192155039	0.2367100629459916	0.29380496891142954	0.5964262618081714	0.22088397875574348	0.10752466507090427	0.07516509436518069	2.6088975308107902	3.4877993097153186	1.741658111632645	0.862777770338983	1.488712762496237	0.6478560279759179	0.0032124020821926963	8.403686056899037	46.866890052796734	279.7635077304629	-1387.2934579126431	-2014.5208571323026	-1205.1176808836738
125000	-5038.8057871808915	-4626.8883705494245	-411.91741663146706	0.3427212062552965	0.19422237378143073	0.36611393788904095	0.09694248207423199	0.11039722523529644	0.33945822096496486	0.2516901011273894	0.2984544526723493	0.5853482638286487	0.22172672852003517	0.11628619379963569	0.07663881385168021	1.9875450208536112	3.161491495466124	2.833396925848834	0.9684238540817269	1.3011184478516973	0.7303073354669645	0.003223539831611233	8.905663875117307	47.84105581653367	283.1076379777009	-1399.4941347698154	-2018.5074560046314	-1208.8867797749779
150000	-5028.992627374961	-4637.29143483596	-391.7011925390006	0.3533121142623014	0.23431986951096334	0.31980293467149523	0.0925650815552401	0.09730305536234486	0.36630652753444076	0.2091373601684757	0.3272530569347387	0.5976334242207665	0.2250683850278821	0.10550224257801212	0.07179594817333881	2.612645426525584	3.4422428222736423	2.3541246326315957	0.8327857036796777	1.3866697324388566	0.7797483053275587	0.0037368388874467577	9.574277700761094	46.195121840928074	256.11877982957753	-1393.5741492966495	-2031.6655991319305	-1212.0516864073795
175000	-5027.193970198652	-4626.934749337317	-400.2592208613352	0.37668997673004967	0.20554635522911938	0.351461333184587	0.06630233485624414	0.10994859151487729	0.35138705041865437	0.2154306177563248	0.3232337403101436	0.5658437277533946	0.21929902210516986	0.1378154753559758	0.07704177478545926	1.9550897179913003	2.7824338520195284	1.6840972120040965	0.833987649868505	1.4543494993051287	0.7108723158257394	0.003268868673683217	8.71920350509833	46.623073196947566	267.4490373669577	-1388.3895118364262	-2015.3853873857568	-1223.1598501151338
200000	-5025.03107823904	-4632.405466913391	-392.62561132564883	0.3393989692055993	0.21476323250883214	0.3668974152011364	0.0789403830844322	0.1206756180494809	0.3698578418775282	0.21944105994163704	0.2900254801313541	0.5832540239967723	0.24943685910590283	0.09324307727905762	0.07406603961826695	2.8981675531138182	2.9967833358810063	2.518360533750155	0.7623099253703901	1.5247772067629788	0.711781010368394	0.003517007739033182	8.737764404797092	46.32511581567951	257.33187747793977	-1391.8319034309143	-2039.0576341519286	-1201.5159293305485
225000	-5024.584183605092	-4620.259342245622	-404.32484135946976	0.38945461347581295	0.20815334034635058	0.29523668127646346	0.10715536490137308	0.10179016417237519	0.39124407012274864	0.23326128335697452	0.273704482347902	0.5779614756330304	0.2361300353898163	0.08822695368681774	0.0976815352903351	2.658297983158009	2.7356937773613805	2.280734815419396	0.8205422294758279	1.4422949794814737	0.7363082302306778	0.003410335405549605	9.098053422896465	46.12090333984571	271.3286698955841	-1390.080857350768	-2020.2655436125633	-1209.9129412822906
