Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-10304.478545327562	-9686.57006248899	-617.9084828385714	0.02563764286465274	0.21131701768098657	0.19090890360080173	0.5721364358535591	0.1441347854422413	0.04697976558086028	0.49570630698666496	0.3131791419902335	0.2712889959392748	0.4092428240815901	0.05109295436014316	0.2683752256189921	1.3766451759153329	4.079508439145832	4.603876144152831	1.3333764052910715	0.9752726818442292	0.6929384195565613	0.00373904949304777	48.26802407708765	109.61009264159337	801.8416565744787	-3984.475701864384	-3138.746844401641	-2563.3475162229656
25000	-10329.125830663488	-9702.569603497925	-626.5562271655642	0.02435271130320686	0.20607087500412766	0.2054306646892639	0.5641457490034018	0.14229521740472126	0.056721655485742845	0.49380527390408396	0.307177853205452	0.2935333068135245	0.396776576323717	0.05031438447028406	0.2593757323924744	1.4632489134733218	4.188237459737422	4.932395554576848	1.295653295604935	0.9648876377767617	0.7408669394545172	0.0035012585309076413	49.81705808285463	120.1758449469523	846.5516349050314	-3989.225218663677	-3142.0588713764573	-2571.28551345779
50000	-10333.681049467954	-9707.426216925393	-626.2548325425608	0.02175579962448808	0.20949690315671612	0.2052952178458767	0.5634520793729193	0.13241868078279095	0.0502873270786998	0.5127291446950082	0.3045648474435007	0.2546769161172282	0.4188147355284678	0.04637124313611714	0.2801371052181868	1.20903850466141	3.9624900698044976	3.5292923945146697	1.315790142869181	0.9296811825479413	0.756032437167969	0.0033085262259697403	50.011525611640714	128.90434671906198	890.7831503287756	-3991.494750897986	-3142.347513690541	-2573.5839523368663
75000	-10324.298238543792	-9699.11992890875	-625.1783096350401	0.025858964868580792	0.19809091711959412	0.2040594907743421	0.5719906272374835	0.16134515934397448	0.04159316298050691	0.49724239554908795	0.29981928212643016	0.2586211786643859	0.4071531786588853	0.044614096522260935	0.2896115461544678	1.3713289188839821	3.716166922241123	5.3052733222322805	1.231708331147282	1.005277919767979	0.7641171220902018	0.0036868485643478193	38.852767337950986	113.39417590033926	829.3767960171365	-3987.7007797923734	-3149.1302704442214	-2562.288878672156
100000	-10334.53885239755	-9706.094491129139	-628.444361268412	0.020439216021746226	0.21183150397703088	0.19372653063569759	0.5740027493655255	0.13354112151386877	0.045496710683257356	0.4875036905765948	0.3334584772262785	0.25739515406717534	0.3867171045964135	0.055991017065176674	0.2998967242712344	1.4734876356883975	4.773261918564654	5.314627486706935	1.3267880269684842	0.9250499395276747	0.7497181669655951	0.003364737346537922	53.19671556192632	112.69654328538859	840.3789904471008	-3987.3287647376387	-3150.6803362072965	-2568.085390184203
125000	-10334.468398546709	-9703.051969456277	-631.4164290904312	0.01784215848818388	0.21996329376177973	0.19573767945682422	0.5664568682932123	0.1535628893424679	0.0417193507114494	0.4852464343513406	0.3194713255947416	0.26484585723775267	0.40818396002308066	0.06381571712746864	0.26315446561169786	1.2443067030478832	3.8107314913537085	5.088142241338051	1.3382215388325205	0.9765078984075002	0.6868811415163241	0.003549029177468747	54.09035267883716	118.3916066699936	861.0412955333578	-3977.7635353683772	-3153.2955770498315	-2571.9928570380675
150000	-10353.570692625706	-9720.686810211448	-632.8838824142584	0.01873615366613253	0.20384597248660374	0.20095043287808537	0.5764674409691783	0.1499309595005749	0.03776022679732811	0.5223421695304742	0.28996664417162243	0.2848971228450243	0.4108953999891533	0.029671215982615833	0.27453626118320634	1.3396737463104273	3.734254199237303	4.482297957134651	1.3569964952046063	0.9622899413870106	0.6824135467188802	0.003173013293662519	49.83289194937093	134.56716774751038	906.0529152195513	-3993.1450952305468	-3153.7172957182515	-2573.8244192626494
175000	-10325.84453285627	-9700.189283274349	-625.6552495819218	0.024551644401369636	0.1989498406809034	0.1887877662502142	0.5877107486675126	0.148063507176238	0.053132679485067245	0.5058626978073041	0.29294111553139013	0.22208265108678488	0.39836575254921786	0.045265890774599325	0.3342857055893977	1.426822175831731	3.8182088598684785	4.228487023276914	1.3540196650735576	0.9377038798632422	0.7099622629921207	0.003479029995204039	51.28418433400753	119.0231314523479	857.3037136315627	-3986.936914065311	-3148.3062865515185	-2564.9460826575196
200000	-10318.913594588981	-9710.43844052394	-608.4751540650412	0.01960571905541089	0.22285322660557122	0.21657148718526328	0.5409695671537545	0.15994076279108044	0.050465630633207956	0.5243725859449159	0.2652210206307952	0.2237769304632979	0.43805811718399695	0.04292180953324194	0.2952431428194629	1.1314212433849988	3.775702967473365	4.1775604989957	1.2861773319772873	0.9594715452702506	0.7557138719523522	0.0038862729204328372	45.20352651874249	109.82085870178838	771.2445457315953	-3998.667679163066	-3146.106703646865	-2565.664057714009
225000	-10329.283536926938	-9712.681078537646	-616.6024583892917	0.0211599783032689	0.20296158908728615	0.2327356540100978	0.5431427785993472	0.1621684464405239	0.04404524057731353	0.481300988249356	0.31248532473280605	0.2978038974185594	0.3710014885869822	0.04996690320474603	0.2812277107897121	1.6086617534908536	4.085845570121258	5.891614833979572	1.352321891138907	0.9695718070676718	0.6797840250845568	0.0037628167815822685	50.025160573945826	106.2822792860331	788.0878802049153	-3989.595475413451	-3154.868194618503	-2568.2174085056913
250000	-10317.416071046939	-9693.698656902983	-623.7174141439563	0.02123756840655852	0.2191221528944905	0.18394484770017439	0.5756954309987767	0.16203117395694164	0.05824277890073357	0.4972674912789764	0.2824585558633478	0.2431859434726398	0.40129561874818087	0.057358139425867885	0.29816029835331104	1.514306896738817	3.5307856387748853	4.768782519806603	1.3481662198134936	0.9983752018101345	0.6551165127564342	0.003640391653388241	42.72952240690802	109.18592647063882	826.3916258569843	-3982.6079034612935	-3152.8770149913353	-2558.213738450354
275000	-10315.189040579377	-9690.303204832366	-624.8858357470104	0.03174751544532566	0.21961902117666715	0.19792535194035374	0.5507081114376537	0.17201345970273202	0.043280700664296796	0.504750175950321	0.27995566368264935	0.2608032711564213	0.38998170386206876	0.04021020304687186	0.3090048219346377	1.2961661620377463	3.9250454466265805	4.120876916167127	1.3441968147363785	0.9881925482454169	0.6692496694693273	0.0036546924897744456	57.56916965582113	119.79594896078261	847.4273625003873	-3981.6121946001686	-3148.9587808018346	-2559.7322294303617
300000	-10330.73411456264	-9713.640256922487	-617.0938576401539	0.02170395873524094	0.23277139465504587	0.20833997111701594	0.5371846754926978	0.1347868606085828	0.055204962400598204	0.4954035470997968	0.31460462989102145	0.24890037513613578	0.420461937098394	0.04117782480972734	0.2894598629557424	1.3963356208256934	4.976412329823543	5.525235746948289	1.3729756619512505	0.8885688842069256	0.740231528422541	0.0035734371375176666	36.46737307789829	115.90751277834637	809.1319409543432	-3990.1720844740744	-3154.3234214631143	-2569.1447509852987
325000	-10341.227863461758	-9720.280642774513	-620.9472206872456	0.01639781203600938	0.23890191219733264	0.20311313535948392	0.5415871404071748	0.14836093465992584	0.05222628294569796	0.46832369644240107	0.33108908595197434	0.27108322061963175	0.43179378279416675	0.039650097369130784	0.2574728992170701	1.1960799034735805	3.7906734157719497	4.128848859904041	1.2145478375062055	1.064398048180712	0.7220757706821569	0.003620096617011201	55.13085666303567	106.27979232747525	796.7225115124774	-3994.493287863563	-3144.1682923959843	-2581.619062514964
350000	-10321.530440650307	-9703.873356885582	-617.6570837647247	0.02092914406460123	0.22202789707052725	0.1888632982360313	0.5681796606288413	0.15338042248940048	0.05438374208883428	0.4896811769669749	0.3025546584547894	0.24354127663905548	0.4067027768730617	0.04203933576581689	0.3077166107220653	1.2790568386769392	3.9162475899945406	3.6627187110752195	1.3928133590621374	0.9134282380772335	0.6956289426656838	0.0036573321133800034	45.18956586398355	119.09571814215799	842.439605323873	-3983.123778049379	-3153.082646230026	-2567.666932606177
375000	-10324.101061483567	-9701.690307434199	-622.4107540493683	0.020045780683585517	0.22225589717764116	0.20955503184776408	0.5481432902910105	0.14830270215677757	0.0545997139986253	0.49224441874791597	0.30485316509668037	0.2393079681243831	0.4164636396822034	0.05207250211913635	0.2921558900742764	1.4283896612268976	3.8455588690139573	4.67875484676704	1.295052529530653	0.9574301003309845	0.7489223821837434	0.003514569872146668	47.15080116570424	118.83679538573396	848.152168825749	-3986.9912716309855	-3146.1062405765283	-2568.5927952266848
400000	-10323.191580893917	-9696.499245907014	-626.6923349869038	0.024234117709431412	0.22933154729014113	0.1789706174053412	0.5674637175950877	0.16057953311040493	0.04389289450355102	0.5071853229697747	0.2883422494162689	0.27551064905674916	0.4030536361723764	0.037905165578259646	0.28353054919261383	1.327271767515913	3.509806631345829	5.380275004992018	1.3299553835081304	0.927594565468821	0.7440212671349891	0.003398510345764968	53.911472052427406	127.97149246115391	880.592248509578	-3970.8023638542886	-3148.3032379094334	-2577.393644143292
425000	-10316.592128927938	-9698.588783604588	-618.0033453233498	0.023630960297782066	0.2179274226854854	0.19631442791181009	0.5621271891049241	0.14194481678557597	0.04885630898495597	0.4892280387493787	0.31997083548008903	0.24835634392806208	0.4258681270744698	0.05980365315393199	0.26597187584353527	1.2925070332831905	4.395984351303742	3.519301861500417	1.3613746238782383	0.9449074100885289	0.6954387975755075	0.00358636934381006	47.28014148141424	110.18447015258872	822.8084003387445	-3980.823307203766	-3149.9254576994786	-2567.8400187013426
450000	-10316.768628501066	-9702.44680729524	-614.3218212058254	0.02341528393300776	0.1976528795040291	0.20645656551105748	0.5724752710519074	0.15474228532932977	0.048386120107686996	0.4854043752636569	0.3114672192993261	0.2697083496193138	0.3948695661132457	0.056979139153651506	0.27844294511378825	1.3786013451099695	3.71082656522665	4.1755634375371	1.3296887789873475	0.9817455171414248	0.6901356504378315	0.0038240183715742677	48.11330718530988	108.82460834454677	787.1425090361829	-3986.2377012158568	-3146.9519512931247	-2569.2571547862594
475000	-10318.45593877526	-9703.758533986322	-614.6974047889389	0.02054721474337375	0.22121027841291527	0.20964939696413387	0.548593109879579	0.1602007341163106	0.05160342560285194	0.48043098994097017	0.3077648503398671	0.3087100116149864	0.40949435414820357	0.04291217387224849	0.23888346036456062	1.3605740260813703	3.2404281971734634	5.334401686390818	1.2887859792565477	0.9685668588088837	0.7440223332643587	0.0035760495009602	47.07708900846751	108.07588336460162	792.0479317504542	-3981.5514414616378	-3151.6390192833173	-2570.5680732413666
500000	-10321.576662977075	-9700.229538860405	-621.3471241166692	0.02470442650172283	0.2217245057756208	0.2104356947722342	0.5431353729504238	0.1422661330247172	0.0479674014562675	0.4903430050271276	0.3194234604918875	0.24954511195779389	0.4125600357746073	0.04575188360686315	0.29214296866073475	1.3069596647883694	3.417816955262992	4.58631374331314	1.3049499895678722	0.9680156322980141	0.7284865209415768	0.003662311427533129	53.02757177863871	102.75579367186678	786.9543226833991	-3986.481981184995	-3144.7949851801245	-2568.9525724952864
525000	-10321.852154371507	-9707.830920883054	-614.0212334884528	0.018667649204744768	0.20083356092058408	0.21612665150294652	0.5643721383717265	0.1327803305063876	0.05567034274034081	0.5022944468147413	0.30925487993852985	0.246677502796673	0.42882658837426696	0.027971692742905587	0.29652421608615354	1.5460322255513324	4.152982470271891	4.646676605171052	1.3665314317874313	0.9167514342291002	0.7184625217538821	0.0037679458263494164	45.362955808582804	108.72634303892903	784.9001171336641	-3992.9180052644333	-3140.430894215791	-2574.482021402829
550000	-10321.245404679998	-9703.707305865619	-617.5380988143783	0.019543224601685567	0.23266226430293468	0.17528267221869148	0.5725118388766901	0.13309724714342425	0.04523411718161694	0.5087936847721223	0.3128749509028359	0.284995813501031	0.3923362099349275	0.045130023876149214	0.27753795268789144	1.2103390507200016	3.5265856806011056	4.910612842327997	1.3726186120013775	0.9498048080470249	0.679350954294459	0.003564716638684451	39.401506147364564	122.36997719638268	820.0016174265522	-3992.795416739961	-3145.7653445521864	-2565.146544573471
575000	-10315.625161470265	-9695.929619935276	-619.6955415349902	0.022513794247903056	0.2113318052142115	0.19043575951432098	0.5757186410235662	0.15790075875838933	0.0477590983025916	0.442311812068701	0.3520283308703173	0.26480011716976687	0.43595233265969763	0.04191129603039274	0.2573362541401421	1.443590815855273	4.291727129469185	4.699299108014046	1.3702118669255219	0.9421435850373682	0.6894074616891334	0.003630490201092706	49.2404511144491	114.20626763417047	820.15452419147	-3991.940521191814	-3143.9599728053936	-2560.0291259380674
600000	-10309.788429862414	-9687.78103069803	-622.0073991643837	0.02204326453386018	0.1959218707537665	0.1869781445547803	0.5950567201575946	0.13883885974151478	0.06253526004830033	0.5121458797039927	0.28648000050619155	0.259890114953308	0.45035705278787863	0.03473683893995068	0.25501599331886204	1.3787485068353935	4.188089753212652	5.164854809457476	1.2982143022953998	0.9578800361306824	0.7453257296800827	0.0035945569624235016	47.07458236664121	108.19092576876488	819.031425023549	-3978.308251626495	-3145.2317461485677	-2564.2410329229674
625000	-10312.469108692547	-9704.002896614922	-608.4662120776248	0.026385072701937885	0.21747790255233426	0.18846128114041058	0.5676757436053189	0.16373047305130659	0.05337439539413617	0.48306112325974926	0.29983400829480744	0.2730392077517887	0.399635925077431	0.05542636988943416	0.2718984972813455	1.4352315224485572	3.797261334405444	4.207461064894163	1.3692113379050843	0.9555920061361693	0.6769548051868617	0.00390607639272419	41.665316664852	103.62050448306222	772.530725951937	-3985.677522289549	-3140.589874826321	-2577.7354994990515
650000	-10343.846161270767	-9713.625247376114	-630.2209138946531	0.017123890716345125	0.22496701118724322	0.18583028072637178	0.5720788173700414	0.16489243911869517	0.04165304876396847	0.4442667580385987	0.34918775407873703	0.2712685590153124	0.40998138423027947	0.04289847182401914	0.27585158493038847	1.5849326892524365	3.399156274155757	5.053345672548778	1.3150931656123763	0.9594628775187206	0.7269444005146717	0.003314201905041274	52.45845949462496	132.7344391456751	890.475795554811	-3994.894966735827	-3155.636478234647	-2563.09380240564
675000	-10323.74432849533	-9702.393535812615	-621.3507926827158	0.020702027583819133	0.2452633897874564	0.21810355968815787	0.5159310229405681	0.1376412150216259	0.05468361084947561	0.48871899221785386	0.31895618191104386	0.2776903322306342	0.392795941630246	0.058930086400506954	0.2705836397386123	1.4533070312934282	4.16298362465122	4.491720056261259	1.3981407668003611	0.9450247239480617	0.6587304176649085	0.003582415845438003	43.349989611449104	111.19662099219585	811.184786700504	-3987.8435809040698	-3141.978315176533	-2572.5716397320107
700000	-10331.849840393692	-9703.837906225279	-628.0119341684123	0.026612770097028483	0.21876041839801125	0.2127255769249911	0.5419012345799707	0.1280535177520917	0.05204562668373388	0.5175680542496003	0.3023328013145734	0.25993314163020553	0.4226024494938094	0.04906999958660024	0.2683944092893844	1.5053712027325428	4.007972686791636	4.8731716035885055	1.3439997339083107	0.8968566311374662	0.7607817289252112	0.0035579354871043173	53.19185388985765	119.88644569864083	873.3115062170359	-3979.825852351297	-3155.6560636064805	-2568.3559902675015
725000	-10318.520267652311	-9698.891169505798	-619.6290981465138	0.020867349799503134	0.22917801291781248	0.19996281235973606	0.54999182492295	0.1482704832276095	0.04728319684201172	0.5020905696239456	0.30235575030643247	0.23862820951147123	0.40905253163431055	0.049213205836384936	0.3031060530178327	1.3383837837672024	3.671587602989163	4.156775646237339	1.359417142067135	0.9124715368902209	0.7298228312429604	0.0036242556824052116	43.23710776445504	115.93205058651476	825.1112441653931	-3986.919123162065	-3148.346118848705	-2563.6259274950285
750000	-10333.332610055073	-9708.636944608423	-624.6956654466511	0.017246486102786274	0.21915265259670735	0.19913214354381395	0.5644687177566943	0.152193139889576	0.04079530439967511	0.4918113398364648	0.31520021587428326	0.28155318368300547	0.372797544249802	0.03444276634195203	0.31120650572524	1.407851006502204	4.072818988651082	4.648568627888475	1.3069317684451198	1.0242665579535177	0.6702632534510979	0.003531060210699669	43.57573189600407	109.3200367667344	820.5872727517103	-3989.370498657952	-3156.165737449404	-2563.1007085010674
