Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-15294.772980266318	-14931.99402545607	-362.7789548102482	0.5645523763039536	0.2549849771845849	0.08457529541535277	0.0958873510961088	0.33142890187806556	0.27701839771639636	0.31617152447602304	0.07538117592951488	0.1851523269917027	0.20884487320515793	0.34072620634759476	0.26527659345554455	3.4708800732042877	2.3275847152665032	6.115465804250085	2.368338589922682	0.3343163078603013	0.30386100026426777	0.025129623732227064	6.591805896162788	55.51607996624175	230.19231554073787	-9891.468716988315	-2578.090233952198	-2462.4350745155575
25000	-15288.08492475657	-14927.383956866539	-360.70096789003065	0.5584901378053857	0.2549849771845849	0.08496923381489357	0.10155565119513588	0.3181379263026842	0.2963229612314024	0.30136755433620555	0.08417155812970767	0.21045880273890408	0.20787538905883043	0.3495343716291009	0.2321314365731645	3.473960253482568	2.5327171596803977	4.956655837739728	2.3910401591982433	0.292437094596717	0.3231467469631263	0.026187112847137966	6.7555420904735115	53.55137054178657	224.81721324536136	-9890.801046288	-2570.305272301535	-2466.2776382770035
50000	-15288.080103698265	-14931.881581461745	-356.1985222365201	0.556817623037175	0.27139761543064783	0.0786396476748723	0.093145113857305	0.30543204430914006	0.31003835561836346	0.3013415676484981	0.08318803242399833	0.16031747988137157	0.24768648830533932	0.3327676042643887	0.25922842754890046	3.3713586863639304	2.529474275136997	6.596231469523877	2.378382990305313	0.3041417795866274	0.3240389586333233	0.025749042289882368	6.50581448244492	54.03828555077829	225.05332472043776	-9898.050106821502	-2575.832224584416	-2457.999250055828
75000	-15284.772428191114	-14930.691767256543	-354.0806609345704	0.5590471650494148	0.2539614369260887	0.08673791852185425	0.10025347950264238	0.2798316282232756	0.3220525931900763	0.3014824747966591	0.09663330378998901	0.1833399071895892	0.18760782117303607	0.35602866535751365	0.27302360627986133	3.3737727196602254	2.584823377828629	5.7394497878270885	2.407705168415907	0.2853315531238468	0.3136666364050851	0.026886231972511616	5.843131575239609	55.16159049772859	224.42936841938612	-9890.845733774671	-2580.5024312805995	-2459.3436022012716
100000	-15288.221515682279	-14937.006235745766	-351.2152799365116	0.5501263403826898	0.26512840020866435	0.07773800628221353	0.1070072531264324	0.3175150521171301	0.276072924295283	0.3229368861650336	0.08347513742255336	0.19573338146601932	0.22834196156588882	0.33872378686595883	0.23720087010213314	3.164343694163634	2.2447173556784885	4.771646927982209	2.4174954251456953	0.3056162012499454	0.2836383518193399	0.02582183659727558	4.4741676702320285	57.01886382894906	224.00134932303533	-9892.994757877228	-2578.7670159773106	-2465.244461891228
125000	-15287.125079194859	-14935.901343352905	-351.2237358419533	0.5604858822751432	0.2585229714041059	0.0882742113876565	0.09271693493309435	0.32804965570898365	0.24424867073531997	0.3289086585736545	0.0987930149820421	0.23126852328913444	0.19917250722339389	0.33125887021724915	0.2383000992702227	3.3771822217316476	2.4922071707923745	6.108064815603025	2.38485704963451	0.30049988935246136	0.3212376183922403	0.027361135477548697	6.117706322602672	53.10200173372056	218.80413135186728	-9890.923399214264	-2582.43232296705	-2462.5456211715914
150000	-15276.968948685757	-14928.80886809736	-348.1600805883965	0.5461233061603787	0.2596003922479775	0.08363792965161229	0.11063837194003154	0.28231452196294426	0.30803914069992017	0.30802473111952655	0.1016216062176092	0.19491748400664105	0.1837572878341675	0.3804725933408668	0.24085263481832492	3.5744555865002576	2.157068670825759	5.561521305129002	2.3718186648435293	0.3203501916307165	0.3143636133583431	0.02670124146932025	5.810142911106749	53.11433598497933	217.90235830912758	-9893.255747345753	-2574.1772615118307	-2461.375859239776
175000	-15279.721670989822	-14927.102076819207	-352.61959417061604	0.5710686973906393	0.25416307679897593	0.0729357252111488	0.10183250059923585	0.3141694280314113	0.28952947374052074	0.3201282754715945	0.07617282275647372	0.21442014259070497	0.21394987949102595	0.32760821330931333	0.24402176460895614	3.664425370787577	1.9149081402814605	5.850918533120835	2.388716554244253	0.300694678649354	0.3172017030789849	0.026193575471085057	5.917489889337367	54.96507411527535	223.0602704667789	-9896.334971146825	-2575.7378567026335	-2455.0292489697476
200000	-15286.26985303149	-14936.61556688664	-349.65428614485074	0.5592234490920274	0.26145356865813485	0.08573304466635957	0.0935899375834778	0.3182424088629866	0.2896119559577515	0.3026362235857262	0.08950941159353587	0.2153564201156698	0.21050566318037373	0.32702203415400966	0.2471158825499473	3.5194784078378003	2.5106433880769834	6.902852964483382	2.4206412308737595	0.3155177040733781	0.2706060232951184	0.027026634239416175	6.1839753729983755	56.79356456874096	223.2014146458279	-9892.118817036473	-2581.808209797443	-2462.688540052723
225000	-15300.218505066843	-14943.346510593496	-356.87199447334694	0.5579131108794768	0.2573165084663107	0.07891899951944098	0.1058513811347709	0.3061678691181669	0.2931768006156073	0.3194138902731586	0.08124143999306731	0.2109256851168651	0.18896248871621674	0.3525210834555832	0.2475907427113355	3.519340478504112	2.263884635108447	6.529906106677949	2.361650547943715	0.315955873802527	0.3288776284820623	0.025142872254064818	5.53913732942272	54.109541124529855	222.63751499246953	-9897.29347638598	-2584.3761877079655	-2461.676846499551
250000	-15293.897272290387	-14935.476759916273	-358.4205123741145	0.5550346497370049	0.2547742204112738	0.08750822176843785	0.1026829080832828	0.31687432369117086	0.27401924521769383	0.29525280881271027	0.11385362227842515	0.17880682453124624	0.23817029907488727	0.34277260945112364	0.24025026694274335	3.189527232573434	2.3101038910901877	5.754884542488982	2.3687525065300354	0.32088259053220586	0.3168827720164744	0.02550842852317972	6.653599938877548	55.32419436194629	229.65851394633967	-9897.598577641313	-2572.1085848251396	-2465.7695974498206
275000	-15290.135173398829	-14930.669600694519	-359.4655727043097	0.5465066536034681	0.27436775298974175	0.07753731330743281	0.10158828009935655	0.32275228158576125	0.286945406918245	0.2899225885367454	0.1003797229592484	0.19975859005859606	0.22695188135931801	0.3230332041266586	0.2502563244554278	3.5851042908306714	2.2155826323151158	7.172181933252343	2.3582686995687485	0.2997543569546738	0.34844488966500126	0.026409194304977034	6.632047236797737	53.61675307484252	224.5205809096679	-9889.260107141346	-2573.924820800867	-2467.484672752305
300000	-15297.621561343012	-14938.752320989131	-358.86924035388114	0.5519441942291513	0.26647520581677553	0.07380108348740398	0.10777951646666807	0.2981426790170705	0.3315170404693498	0.2665907850161117	0.103749495497468	0.16968148900223423	0.202096288358758	0.3813107730589933	0.24691144958001487	3.6770382421725327	2.274273610821748	9.137310749034038	2.3950978415713298	0.32749475293565566	0.2840507285481167	0.024984431466554272	6.069890027007816	53.65928229688262	223.3211276526096	-9896.754883478392	-2575.794157967601	-2466.203279543139
325000	-15292.701440872988	-14937.42002081513	-355.2814200578576	0.577645294597658	0.24502086302073217	0.08499361468254871	0.09234022769905975	0.33865388414059866	0.28956529085881777	0.28736762407822547	0.08441320092235804	0.20616058481454552	0.18711477406988306	0.3493353669481809	0.2573892741673911	3.370531740482578	2.6107843393285366	7.059826802746543	2.3666020346310126	0.33572801791317447	0.30417757619215147	0.026564038259618086	5.808532721868701	54.866555114191286	223.91240479921257	-9906.007819304989	-2576.115072138381	-2455.2971293717596
350000	-15293.898334199219	-14945.527532971624	-348.3708012275943	0.5606997755671105	0.251459134523031	0.07816104454847211	0.10968004536138493	0.3224302791433439	0.26590103038344975	0.30878942269620635	0.10287926777699997	0.22845947983641118	0.1934288730770768	0.34253314064520146	0.23557850644131115	3.4666740898998505	2.35289348101212	5.705498165166305	2.3726146535484776	0.3223429113709155	0.3115786953355996	0.02654354462465215	6.005823079445228	54.801340666508246	219.56407544071163	-9898.410279950214	-2584.013159089029	-2463.1040939323816
375000	-15299.61344950016	-14947.157236929213	-352.4562125709473	0.5644634299989233	0.24248006272683859	0.08579385332640346	0.10726265394783317	0.33198373527967356	0.28019519391818515	0.3018293022078503	0.08599176859429102	0.1734043763707884	0.2077194399970566	0.3377866217029801	0.2810895619291755	3.4449464263457634	2.897370870711001	5.949567763248672	2.3719364429464633	0.3043324172509452	0.33026417048328993	0.026043198307290093	5.904601027640078	52.532444613699944	216.5273239126987	-9909.279534343936	-2579.082548095551	-2458.7951544897282
