Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-79845.65799089921	-78779.81164557772	-1065.8463453214922	0.12387980209419368	0.13656654339222937	0.28172486557804466	0.45782878893553236	0.19281100703741388	0.18062012064154725	0.496958257377808	0.12961061494323076	0.40477442926812546	0.11496505885430214	0.17344613384101823	0.3068143780365541	3.700110534089612	1.6426623090929193	1.6520664497751119	1.0084461832296638	1.3254976293445213	0.6660964073459563	0.016757057005238222	1499.7674484425268	1529.1874505507114	13771.732128028383	-25801.314919359356	-28128.163835456126	-24850.33289076223
25000	-79846.07159140136	-78777.74203819077	-1068.3295532105851	0.12483772812852821	0.13948038437233626	0.26934824961456966	0.46633363788456594	0.19281100703741388	0.17563108995875903	0.4958888211498438	0.13566908185398327	0.4011315052829343	0.11192527471833424	0.17668931251987108	0.3102539074788603	3.7681028694647534	1.5058141366435105	1.7239956415888507	1.0043702101439145	1.3230369633556387	0.672613637024942	0.016842092546037465	1672.235474307351	2938.2865408262937	15635.380080091341	-25799.40592784843	-28125.405444492804	-24852.930665849533
50000	-79832.32110120727	-78765.30475570164	-1067.016345505633	0.12362871128859279	0.1361295477305071	0.26702363362989784	0.47321810735100234	0.18876285113375155	0.17594786695925613	0.4987853333211366	0.13650394858585566	0.3966066118142795	0.11113321511896607	0.17617946113564173	0.31608071193111265	3.733433817708996	1.6962258887048174	1.7328918950051686	1.0202481815903166	1.3161412334671376	0.6637070048548812	0.017313032861247767	1420.3214602254307	2609.0440185524208	14610.899004514236	-25785.764326010434	-28132.08108129267	-24847.459348398534
75000	-79833.42933161526	-78774.35954394576	-1059.0697876695074	0.12320641168399642	0.13407546340687704	0.2741780809636754	0.4685400439454512	0.1870743098266598	0.18109576788618395	0.49710560016014477	0.1347243221270114	0.39526702572221456	0.11025313095387104	0.17495909053465789	0.3195207527892564	3.769138594637266	1.650352150938999	1.5469376692640735	1.0012517108342849	1.308612482286231	0.6901417674072675	0.017323899493449858	1339.0812346416471	1871.6366466334262	12516.942337303897	-25796.32671621938	-28129.02657376591	-24849.006253960477
100000	-79839.71502712283	-78760.61164321666	-1079.1033839061754	0.1253911781353613	0.13148335047262416	0.27564826868619996	0.46747720270581455	0.18665037895351394	0.17613741308525716	0.49740336822529235	0.13980883973593655	0.40680934829679566	0.10943024192831051	0.17403247380669498	0.3097279359681988	3.8327963874741937	1.690156985391295	1.66763233779001	0.9875580207019491	1.3167135005149078	0.6956692312626774	0.017550745246940072	1462.8013576392802	3692.738060842422	22337.540170997956	-25798.130352238048	-28116.560016668343	-24845.921274310276
125000	-79822.52265819896	-78761.66258622345	-1060.860071975503	0.11801332743410596	0.1399027413084513	0.2757686666750924	0.46631526458235034	0.18579575498840983	0.17949120453503936	0.4962659550538939	0.13844708542265685	0.3998244066797892	0.11029920258902985	0.175573872194341	0.3143025185368398	3.7338651123388074	1.570524499107227	1.6498702998444632	1.0171958125181417	1.3020565009751854	0.6808295713281888	0.017331036336948193	1484.7689307144358	3633.179708893999	16898.72380965749	-25807.28986996627	-28118.88987406483	-24835.482842192352
150000	-79860.54072193625	-78781.0193783581	-1079.5213435781495	0.1253220241353004	0.1356390710828626	0.2658647017602595	0.4731742030215776	0.19040480593367715	0.17554019134977644	0.4949244733086206	0.1391305294079258	0.40468129314585904	0.11091044672007612	0.17112869234979602	0.3132795677842687	3.967359611524951	1.4891483111034305	1.700824674546306	0.9947699905543481	1.3140225512235115	0.6911825534152568	0.01686924577448104	1531.3973393674603	1761.49577070389	15949.044217035853	-25797.912070928844	-28131.20459697323	-24851.902710456026
175000	-79836.93622849022	-78759.21297205893	-1077.7232564312812	0.1262169107384411	0.1399335451233941	0.2721533363887961	0.46169620774936887	0.18509146570294016	0.18583156185192018	0.49274620789698925	0.13633076454815035	0.395816646587332	0.1092761892479708	0.17191346579769384	0.3229936983670032	3.8195295005553827	1.613570953140577	1.6591122393049087	1.0324969885032642	1.2860010605967747	0.6816566984642635	0.01683588849634002	1565.8468969472895	7856.44294149072	27413.61147958551	-25799.1164547409	-28125.247556927898	-24834.848960390136
200000	-79848.95095799812	-78782.12631514594	-1066.8246428521795	0.12544652527270794	0.13405146197979714	0.2744561572629288	0.46604585548456623	0.19076770011509134	0.18334903400351407	0.49223712481007337	0.13364614107132122	0.4001054371803705	0.10916420827513822	0.17098145263648223	0.3197489019080088	3.787502030994386	1.5643673868647832	1.8330304077119959	1.0136442798076346	1.2946645046086418	0.691756188344713	0.017541754947745222	1240.3081364759855	4949.570391866991	20305.040611313914	-25795.821584915782	-28133.874045191835	-24852.430685038325
225000	-79841.75710386575	-78765.24905627631	-1076.508047589437	0.12320959069685078	0.1361980594909203	0.26899813157497277	0.4715942182372563	0.19103409408578392	0.18216213336404283	0.4883997407188897	0.13840403183128358	0.393521347267967	0.11104395223343295	0.17465115132360626	0.3207835491749936	3.680466345454579	1.6681057534754764	1.6801338718929055	1.0205901961347135	1.3092453693572936	0.6702624830610157	0.016562245406404406	1600.5760448428007	9262.430662037823	31618.416166955245	-25800.050186340162	-28121.774827551657	-24843.424042384497
250000	-79853.02373352007	-78774.21456142486	-1078.8091720952093	0.12674986849769618	0.13939493759781443	0.27096182537232977	0.46289336853215973	0.19188861279221586	0.18490574591167572	0.48359504702813216	0.1396105942679762	0.40253565762305205	0.10781435073494923	0.17221847524125677	0.31743151640074174	3.4940067480683177	1.7458565736186733	1.5850504741027969	0.9881950077486634	1.3083896456450446	0.7033591323574765	0.016207778436011632	1600.850336873778	2418.660343021829	16804.63373318262	-25790.237461000484	-28131.60389938462	-24852.373201039743
275000	-79829.11208850627	-78766.52418283996	-1062.587905666304	0.12442503250819617	0.13362847194351815	0.27190377456981624	0.4700427209784696	0.19289268102993418	0.18340269074502266	0.49258255594246175	0.1311220722825814	0.40153403441384056	0.11279945418537826	0.1783783737919464	0.30728813760883456	3.7866355144251482	1.5716393158612179	1.583347675665611	1.007676639950589	1.3120617715754002	0.6802981439023473	0.017327172854564622	1527.5197010350685	1850.9354632019779	13895.379508488963	-25791.240368190993	-28132.531098502714	-24842.752716146257
300000	-79841.90557990981	-78774.14904054088	-1067.7565393689274	0.132897541386146	0.14013785428344386	0.27203807230680954	0.4549265320236007	0.18220082287814535	0.18417603029644938	0.5004330042210055	0.13319014260439985	0.4031350801818918	0.11880294600032723	0.16670772319968655	0.3113542506180941	3.5491902538376294	1.5780762999008293	1.6740424889763241	1.0047534998464946	1.3005379610450136	0.6947311748220469	0.01706441954774651	1365.406630512265	5773.240942895905	22272.958956419006	-25798.060080185267	-28128.442065528612	-24847.646894827012
