Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-39839.62910122166	-39388.24085882667	-451.3882423949877	0.16099721919172902	0.2409688411347543	0.4726859880929985	0.12534795158051806	0.6764494399540738	0.039190390013214525	0.19809341588212334	0.0862667541505883	0.11336355541373763	0.5157050104322723	0.1860530495853806	0.18487838456860944	3.8099712950224838	7.736525371378207	3.2156097187117454	0.6966190272003228	0.8744674852376155	1.4274688162630162	0.07611336593042076	14.011098383598771	53.149347063868674	336.36948787245535	-11508.736761943284	-10582.093778759063	-17297.410318124326
25000	-39841.29488155327	-39388.39238858416	-452.90249296911355	0.16295480027920625	0.24292259626833024	0.47814726489861387	0.11597533855384946	0.6652065639666191	0.03860273095499197	0.20346320350368285	0.09272750157470595	0.12133490266139443	0.5083562573767119	0.18502751579651094	0.18528132416538273	3.929764853380427	6.800706668146168	3.367099558213206	0.6681271143898605	0.8968264917374855	1.4334660467983207	0.0757120634248401	10.548960715228906	54.112716687544854	339.7375005123963	-11513.427692585563	-10574.350796727089	-17300.613899271506
50000	-39835.437129878774	-39385.92810018169	-449.5090296970817	0.16636044329287827	0.2317307515513421	0.48820023288831915	0.11370857226746031	0.6716105169917593	0.03691095304495884	0.1990039061987863	0.09247462376449536	0.11652482378033267	0.518717951999541	0.18864470361160804	0.17611252060851826	3.5971519600422046	7.069887476093552	3.4156776670084175	0.6847975968214044	0.8682234516046148	1.4454779877493216	0.07447488808584746	12.822121656262851	51.74402073426073	327.829936576985	-11515.249526364823	-10583.426626908296	-17287.25194690857
75000	-39830.986981628026	-39381.54009206952	-449.44688955850955	0.158785074495623	0.2430802985289496	0.48201199538522593	0.1161226315902013	0.6618939593106675	0.04381687363145792	0.2019423945512676	0.0923467725066067	0.10859746749494717	0.5139548041580522	0.19200401374790982	0.18544371459909068	3.576659617457987	7.6695502872041565	3.1797735512903995	0.6625415320415711	0.9032057896132546	1.432645733259659	0.07557610071174578	11.186237786488354	52.9215852822688	334.8924413766252	-11513.28589183949	-10574.883029087317	-17293.371171142706
100000	-39822.436752691385	-39373.30772770891	-449.1290249824761	0.16864912764848816	0.24557866659318664	0.4686300770148758	0.11714212874344929	0.6638384867041114	0.04142360296248041	0.1979139500029417	0.09682396033046627	0.11087965097333718	0.5211199045691819	0.1817821702719674	0.18621827418551337	3.565639556745066	7.555642188333352	3.302049676432759	0.6939942416164607	0.8744191002305802	1.4301294878749433	0.07711208354770911	10.775739309567989	53.94887674976907	333.3319703426237	-11515.19426440528	-10575.951049221672	-17282.16241408196
125000	-39827.84277364666	-39381.12809176094	-446.7146818857245	0.16214185207815046	0.2614942997058267	0.4640538933181757	0.11230995489784695	0.6595716491546738	0.040701501165727266	0.19955794829654974	0.10016890138304894	0.10954064694338286	0.5099299978122703	0.19284556149446067	0.1876837937498861	3.9864206251878382	7.848421410337565	3.3714687260270977	0.6849248992035728	0.8801371926436209	1.4334375505299672	0.07740573255977432	12.296472886305324	50.957749090824585	322.05113568288425	-11517.586831482939	-10575.952382213158	-17287.58887806484
150000	-39824.249895790716	-39379.838604763376	-444.4112910273373	0.1619906863504385	0.24968633182981287	0.4738960797478401	0.11442690207190837	0.6581903462339774	0.041582273501727496	0.19727352986001293	0.10295385040428173	0.11450487628877662	0.5152653231125581	0.1815364273431046	0.18869337325556063	4.043505676105773	7.24680782822049	3.1595246119380582	0.6770722661088461	0.8921136751797668	1.4292763075976203	0.07706906816008206	11.349797796937578	51.97362926733869	324.77243057995196	-11510.650571721371	-10574.464902953297	-17294.723130088703
175000	-39819.85890542962	-39373.400322143105	-446.4585832865104	0.1627155994370057	0.2498767130546094	0.4738362107291233	0.11357147677926152	0.6483243748046614	0.047916348575621784	0.19977087715731015	0.10398839946240628	0.1124398504625226	0.5115857912608484	0.18544079102446304	0.190533567252166	3.609454351303719	7.911847809982959	3.2640889123337127	0.6949145662005949	0.8797958076769801	1.4238368383424282	0.07646547858085732	11.65767270411235	51.61608524830628	326.32900847233776	-11507.363015759734	-10574.724320861338	-17291.31298552203
200000	-39831.57327650787	-39381.99955954138	-449.5737169664936	0.1675573981602098	0.250768960830405	0.4649407351849652	0.11673290582442003	0.6560184696572527	0.04037552675858163	0.1890431232271634	0.1145628803570019	0.11222638257845757	0.5058441852243343	0.18953315653102384	0.19239627566618442	3.9006102304430907	7.422880018401657	3.4471963308404185	0.6752891873278086	0.8616384855573428	1.4615260851497431	0.07479060662593948	11.207600149927016	52.02494109691931	331.5464947885231	-11520.408084236802	-10577.101297450152	-17284.49017785442
225000	-39826.783503885636	-39378.85389597999	-447.9296079056452	0.16394550667508712	0.25975081075432715	0.45669169512231755	0.11961198744826818	0.6517601991237487	0.047951045827865635	0.1905680700452469	0.10972068500313853	0.11155204031385776	0.5222932192191628	0.17731604049941957	0.1888386999675598	3.8093439635813025	7.522336908913052	3.226965724778487	0.6953842800672434	0.8851185682229059	1.4180466006625525	0.07588951151565775	12.118687711582085	49.98070134788924	322.4491322678182	-11507.285205472232	-10581.244732027762	-17290.323958479996
