Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-15311.365991355817	-14633.702749915505	-677.6632414403122	0.1257376891512993	0.31754286462450454	0.08877449882204261	0.4679449474021535	0.33048433341863964	0.0482811447008292	0.37634214580348135	0.2448923760770498	0.3361905708403488	0.17968632103451612	0.3224937361349055	0.1616293719902296	10.470227237162923	1.0702969858571851	1.3051676532214418	1.4273268520632698	1.378321272648517	0.19638676505994315	0.005695370068873511	64.10471858718755	126.73626597577693	1032.0366080628414	-6019.848170272354	-6839.667036390548	-1774.1875432526017
25000	-15307.408961566241	-14628.739001640304	-678.6699599259364	0.121664926710322	0.3267970500429043	0.08121179727879416	0.4703262259679794	0.3180503271116587	0.0482811447008292	0.38701254955143966	0.24665597863607241	0.33442304694348957	0.19793882216921813	0.25591886825421695	0.2117192626330755	9.535574314131088	0.9780799907933462	1.4555523953905574	1.4619696634928703	1.3450987566134969	0.1951314354340753	0.005568173914893627	52.88660921293627	121.32290765688033	1024.7330771231284	-6015.671030558346	-6835.981277714744	-1777.0866933672148
50000	-15310.550164761275	-14634.977169303389	-675.5729954578858	0.11174275288518269	0.33041013528650653	0.09817043102691775	0.4596766808013929	0.3312142801502197	0.05085489748430231	0.3731483432456649	0.24478247911981296	0.3525606502428867	0.17240126511848916	0.2856417073759507	0.1893963772626736	9.772990655217864	0.9994353487007086	1.50367342746107	1.4924892687752678	1.3402103145929412	0.16964560362595896	0.005672864022239349	73.24966549800557	132.62718964907552	1028.6994380481115	-6014.106588956591	-6847.0566878012605	-1773.8138925455373
75000	-15315.585262106035	-14631.464178780465	-684.1210833255703	0.11038468675831868	0.3261623624688977	0.08237969624234899	0.4810732545304344	0.3103632890489956	0.0598201375801485	0.36425300468698063	0.26556356868387515	0.330965755534189	0.17091704077025188	0.32323315982320305	0.17488404387235615	9.147047096882325	1.153631658788667	1.2358149664096487	1.4688437060696986	1.3582662459629193	0.17512263704390482	0.005199067382122395	82.28839554696305	130.15800091760224	1080.65836302124	-6016.948987542621	-6840.252573535402	-1774.2626177024426
100000	-15311.754560477943	-14634.549360686486	-677.205199791457	0.10542573671256701	0.30867506086754376	0.08614142909378968	0.49975777332609933	0.295608959820449	0.06637913315425181	0.371025579533958	0.26698632749134105	0.3586706921833698	0.18839375696167035	0.26481477825844824	0.18812077259651172	9.87679713169768	1.1109408299656318	1.2365249561438194	1.457271656300349	1.3507980362075918	0.19410779156967997	0.0056963348863305055	65.50383325820987	117.14687899533031	1008.1377716774572	-6009.9754311635625	-6846.594512113908	-1777.9794174090148
125000	-15309.715929941793	-14628.133142912291	-681.5827870295013	0.09511876899417814	0.3100647786580449	0.09875164304819553	0.49606480929958113	0.29938417590930155	0.060804691400777856	0.3738110123117799	0.26600012037814047	0.3314199597579816	0.18356099545155907	0.31079624740132367	0.17422279738913582	10.125157792476688	1.1299436871270596	1.2244482205205083	1.4989808767389363	1.3073446065462788	0.19605061612782737	0.005301602026374739	67.63472123439391	130.38045422463256	1052.9586484407853	-6017.495847163589	-6836.821831302179	-1773.8154644465233
150000	-15299.671297075129	-14628.288054693334	-671.3832423817944	0.09906958523288122	0.3253926993380088	0.10525979813637312	0.4702779172927366	0.28962665161212237	0.05949463435465685	0.3821703003777415	0.26870841365547904	0.3821089233804427	0.18100521915339646	0.26766333173514123	0.1692225257310197	9.69251222867137	1.1773864781270011	1.7020148023830846	1.4572857369626326	1.3542036922594258	0.19068812190633447	0.005851955147579571	75.46894126810612	133.1619955362765	1009.9310948940933	-6009.20612397824	-6845.078789320252	-1774.0031413948423
175000	-15314.33456895312	-14647.312161315243	-667.0224076378767	0.09648886566410997	0.32942450431526105	0.09054167148690943	0.48354495853371926	0.3111262765109941	0.055155493598729476	0.38556003740991773	0.2481581924803584	0.30615788855969656	0.2007983512587195	0.2821670344752769	0.21087672570630703	10.236515802151137	1.2135085202211076	1.6018428168251388	1.4651306863009685	1.3502354952775737	0.18684872645146142	0.006009636331048494	65.92659000263508	118.78157740994233	968.903454797282	-6020.283408057906	-6849.654994519035	-1777.3737587383036
200000	-15335.07493323929	-14659.969078484723	-675.1058547545674	0.09191740187157607	0.31468765710944707	0.08290360324166329	0.5104913377773133	0.28730893415446757	0.05716467961469005	0.38122611079130825	0.2743002754395339	0.3230673593288252	0.19025786397784594	0.2990618634919559	0.1876129132013729	7.9045355987278	1.209625967652673	1.564888643299015	1.407395326785986	1.407465687928246	0.18707896303236704	0.0052606376342600345	72.47753056841266	122.17617308971764	1006.6023399326162	-6023.502179775703	-6857.824326204212	-1778.6425725048075
225000	-15317.697563809248	-14632.801310595198	-684.8962532140506	0.12245211794211308	0.3213392690851214	0.0940750268075905	0.4621335861651747	0.30896018951522153	0.05764229826514522	0.3864365884194638	0.24696092380016912	0.3611199126820022	0.17824056402493932	0.2789355811970387	0.18170394209601964	9.535785784844611	0.9684729765956307	1.4119900178091238	1.4820264442503395	1.3236460539710178	0.19662286579888216	0.005344881647118231	76.27242574661469	133.48167212607612	1080.3935350451434	-6009.605334126873	-6845.155694599193	-1778.0402818691318
