Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-68378.34747294807	-67787.22270405911	-591.1247688889604	0.21351786270108133	0.17801830980709094	0.19038641580362772	0.41807741168819995	0.2969765794069202	0.1935179790089399	0.18247682463913004	0.32702861694500984	0.4267239097974102	0.31522729156859786	0.08730836511386195	0.17074043352013016	1.8934936825743482	5.959080571578933	5.044137634895589	0.7736147780746065	0.586128568510595	1.6391786285484873	0.1150260105208861	31.024143964231694	64.68271283229896	605.0899034566938	-22487.63074161469	-18861.784745202414	-26437.807217242003
25000	-68384.0136667276	-67793.3084337483	-590.7052329792912	0.21845750903068584	0.17840981593842592	0.1954737833568071	0.40765889167408115	0.29434668809152675	0.18798028111114942	0.1836311601863307	0.3340418706109932	0.42225096068911705	0.3146792976799326	0.08730836511386195	0.17576137651708856	1.8295381517408111	5.942478612835339	5.010144147840299	0.758033033855553	0.5902575549023314	1.6505571875938092	0.11422539769905833	33.710262765646895	66.12176219804472	614.2443307269742	-22483.679850006087	-18857.690995246365	-26451.937588495857
50000	-68390.03346135907	-67799.77366848782	-590.2597928712524	0.20846222528610317	0.18567765331752084	0.18551034682415649	0.42034977457221956	0.30592139018154163	0.19352198357329287	0.1883263541865755	0.31223027205859016	0.42291742481179695	0.3171095587777074	0.08664190099118203	0.17333111541931373	1.7126819830611941	6.161906656191568	5.07184960414024	0.7603566526123089	0.6053761887838132	1.6331259998067942	0.11430412531745177	36.205816734977546	67.35984767613893	616.1531489990555	-22496.683107040266	-18857.03035504571	-26446.060206401846
75000	-68387.22360254342	-67794.55298640317	-592.6706161402578	0.2138653597213099	0.17995664877000841	0.19579547864407362	0.41038251286460814	0.2969381199267533	0.19432131055029783	0.18910584083695592	0.3196347286859932	0.42214994518207966	0.31799645444268904	0.08652248495591768	0.17333111541931373	1.8287468716577377	6.388667454601926	5.100273299787199	0.7673555787427782	0.5966018306800096	1.6349347599997974	0.11393091598384593	34.73824755950758	71.9813892845412	634.9818924422614	-22491.76119271724	-18854.749907266796	-26448.041886419134
100000	-68402.6217186131	-67809.18000381984	-593.4417147932603	0.22323728137180557	0.17709911091448466	0.18743489749437828	0.4122287102193316	0.3013663688574065	0.19146563355377938	0.18997869069516524	0.31718930689364927	0.421761658748014	0.32426843113983217	0.08742294128729378	0.16654696882486003	1.8080838830857557	6.2554826313493335	4.969923253274852	0.7623778215292588	0.6040654814063451	1.6324251628812028	0.11496030583530799	35.93751328255618	91.05933716442418	673.4013004908345	-22497.246032031944	-18855.967113050687	-26455.966858737207
125000	-68404.48254031035	-67810.06572128742	-594.4168190229315	0.2110564545321235	0.1837875764878802	0.1944064188266846	0.41074955015331177	0.2998121250226918	0.18300690512318882	0.19093999533924452	0.3262409745148753	0.4286472872669548	0.3100316556324485	0.08945715764217138	0.17186389945842528	1.8542824915306033	6.5854366554085235	4.802383258248161	0.7789649247551563	0.5777287411658687	1.642253786101619	0.11182006492794126	39.478760516275244	68.66518678444052	634.5212850533763	-22498.050781730693	-18864.489673061413	-26447.525266495322
150000	-68386.94768209568	-67792.09663324189	-594.85104885379	0.22541326098100534	0.18124636392631718	0.1851355419331879	0.40820483315948963	0.2993079251442237	0.19195622725315967	0.18968541603378292	0.3190504315688341	0.42139918666026405	0.3164748815464369	0.08852569172274098	0.17360024007055802	1.8230318293542087	6.170497681835001	4.979870547345986	0.7394429983430435	0.6015128997391189	1.6578033542909	0.1124498739968156	33.82595438181709	76.27682866684658	651.3676583433437	-22489.801385855793	-18858.286018106453	-26444.00922927965
175000	-68396.42264991214	-67802.21636804995	-594.2062818621895	0.21526522450760807	0.18279190447116786	0.18177860300733734	0.42016426801388684	0.3118860055649067	0.19379637801672797	0.18759217216249674	0.30672544425586906	0.4257092362857881	0.3170055497735344	0.08830576070054344	0.168979453240134	1.8370223782998494	5.951488690456327	4.947266663153264	0.7678919987366389	0.596303703829673	1.634699021237196	0.11125865688602204	38.568484389981144	71.47775132971168	633.1108877474898	-22483.235343458815	-18872.44156572859	-26446.539458862553
200000	-68390.76142346622	-67800.34708491404	-590.4143385521734	0.2169643067603866	0.1824397995871274	0.1820365999241816	0.41855929372830447	0.2978560337849854	0.19138031454422189	0.18208342225417357	0.3286802294166198	0.4232425282326618	0.31979152271184835	0.08781207708669202	0.16915387196879772	1.8710681461036651	6.028076493905019	4.914636659780183	0.7571017743663037	0.6010129343211883	1.6407286330952047	0.11597204905489966	38.99401025757399	74.38849838556476	634.560880699335	-22483.3318715667	-18866.9229941402	-26450.092219207134
225000	-68388.02876681174	-67797.01401964224	-591.0147471695008	0.21597915408254387	0.18140125564526613	0.19627752337719365	0.4063420668949965	0.29481478016897894	0.19497565030858893	0.17808452688381463	0.3321250426386182	0.4222957133683033	0.3205613262360677	0.08766498110128064	0.1694779792943482	1.7947406235843628	6.343017597513894	4.894525250387525	0.756479914854519	0.6029868021955179	1.6393736634968896	0.11308809236766355	37.12512281655862	75.18327320674351	624.0496241871972	-22502.435426296808	-18854.891717485163	-26439.686875860276
