Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-59431.10913269103	-58704.26416606507	-726.8449666259653	0.20090323689804826	0.3748708311638286	0.06960917479963717	0.354616757138486	0.2527693245379984	0.32771402463514626	0.32147206069182394	0.09804459013503129	0.1332458872390508	0.36253783822150915	0.27312680921006444	0.2310894653293756	2.8958081685224286	2.5224020154269335	2.82096807061962	0.2176945308125987	2.221596156281087	0.5569840487673268	0.0594478528228724	111.61828408998586	146.49502773388497	1422.562620280762	-10524.38126551649	-29872.205044522514	-18307.67785602607
25000	-59434.79229839307	-58709.25870722876	-725.5335911643134	0.20296520388370426	0.3610039981273615	0.07438128466301074	0.3616495133259235	0.2445662909707249	0.32771402463514626	0.3187683513853599	0.10895133300876879	0.13766977167793168	0.3645890160661077	0.26823058097922214	0.22951063127673837	2.9515303378059143	2.3763628729138864	2.769353125226891	0.2176945308125987	2.2050383460289664	0.5735418590194475	0.058638310078750616	109.652182838448	135.56719425402744	1343.5648315537794	-10517.069716557957	-29876.940171156122	-18315.248819514676
50000	-59426.5571865057	-58700.63894940114	-725.9182371045584	0.18038341539238073	0.37104524722203547	0.061550124415883034	0.3870212129697008	0.2503253228055681	0.3273521926414041	0.3229360933015785	0.09938639125144913	0.13724296490531238	0.3478840741523051	0.28453418681711096	0.23033877412527148	2.502648019454669	2.370185834800237	2.736072255385163	0.21507255225059077	2.22173191545772	0.559457782540502	0.05942484720445332	105.9905520189783	140.99322632466308	1408.094369796135	-10513.673463745543	-29873.021517275945	-18313.943968379648
75000	-59424.52009208067	-58696.80808217429	-727.712009906377	0.20092148462781828	0.3594498322956701	0.06368762783362969	0.37594105524288207	0.2480802930280017	0.3277871914648355	0.3209794317782972	0.10315308372886542	0.13513965014775672	0.35771496518616724	0.27257209905234314	0.23457328561373267	2.606189903529365	2.4112176137309107	2.720051051197203	0.21718965969457107	2.2324059324950207	0.5466767395232399	0.060029106631167575	103.2641473462538	156.0810967880503	1454.7309631925955	-10517.110332940647	-29872.65577296769	-18307.041976265962
100000	-59404.12312190062	-58677.907651930196	-726.2154699704262	0.19218304553176993	0.35856090878707764	0.06748363806548095	0.38177240761567177	0.24676799194836718	0.3287303663905874	0.3198636666940808	0.1046379749669645	0.13308810501372487	0.36076352338849765	0.27298250417576436	0.2331658674220128	2.6244012019588876	2.5526213778716973	2.7905119427828566	0.21900168093888892	2.248849626842802	0.5284296526037329	0.05954648959157309	100.47402312883412	135.8424903552169	1393.1895938078042	-10503.74508657285	-29869.17601757952	-18304.98654777783
125000	-59416.69141691235	-58686.516815561736	-730.1746013506155	0.17610586577183007	0.3695687168869267	0.056437973464086334	0.39788744387715713	0.2507644556121001	0.32928261862063424	0.3190500452089441	0.10090288055832149	0.13604797986841813	0.360826743540549	0.2690079116720567	0.23411736491897586	2.287118197101493	2.54332795752533	2.757452909692851	0.21170207997754384	2.243464994860578	0.5410791255427249	0.05970349982691296	102.79284428613163	142.13964168816844	1418.3087052157869	-10505.939568639682	-29868.197362384104	-18312.37988453795
150000	-59421.15102161828	-58688.64588522759	-732.5051363906932	0.20003426896330562	0.36261613421230315	0.07117357107885189	0.3661760257455396	0.25035057206162625	0.3192320110895382	0.3294150143141004	0.10100240253473503	0.1292229837786708	0.3615213825111824	0.27503910528645065	0.2342165284236959	2.5677787578744717	2.4189667736146108	2.677266530473173	0.2054644200996555	2.2488140525439695	0.5419380245949461	0.05885955354865631	127.46288174606609	181.68483502754657	1550.279660228542	-10504.848328190255	-29869.864141090842	-18313.933415946492
175000	-59416.16424002398	-58693.52610597397	-722.6381340500074	0.19699484015356553	0.36849855929857606	0.06003043549893845	0.3744761650489201	0.24619324513129537	0.3253939547792218	0.3276519388815912	0.10076086120789149	0.1328174354581842	0.36251556348912056	0.2801713881553524	0.22449561289734266	2.806959014889807	2.4712465847401854	2.6606683658343386	0.21852459364178287	2.2283842059070333	0.5493698889923366	0.06091913779096187	99.19691383498467	133.47636653842372	1345.403133387916	-10508.50430856236	-29871.806158219908	-18313.2156391917
200000	-59425.84632770201	-58696.47225203297	-729.3740756690456	0.19333497315496564	0.37000152906211753	0.07224695149839735	0.3644165462845196	0.23987740586709017	0.33638134115785623	0.3199617103070742	0.10377954266797929	0.1267544617950212	0.3701126158120189	0.27902138153008627	0.22411154086287358	2.617315896982491	2.3927005753533246	2.870131421894784	0.22035515631138516	2.22262386205871	0.5533083871361515	0.057985176216040296	85.47552682590576	125.68309134619277	1335.1195670029288	-10517.799884545042	-29865.715100839945	-18312.957266647976
225000	-59428.21476061927	-58693.4679777299	-734.7467828893616	0.20322931305213848	0.35726614817933205	0.06842434872943037	0.3710801900390992	0.24372238352431919	0.3333609832586206	0.31787532567991184	0.10504130753714834	0.12985868157972993	0.3578472812944045	0.27855232113401557	0.2337417159918499	2.805064663320118	2.560069479954682	2.830156504020721	0.20642271440587365	2.231821321058904	0.5579770250800142	0.05790641235123158	127.03008345548122	212.9270016911438	1612.8466243938697	-10505.557924492341	-29870.66743310397	-18317.242620133587
250000	-59430.813889374986	-58700.6963539505	-730.1175354244854	0.19898526397702423	0.3723748973898353	0.06151812751087795	0.36712171112226255	0.2464804650668507	0.32666314473205715	0.3260772086530271	0.10077918154806506	0.13302929740053748	0.35594181619067095	0.2782719681699409	0.23275691823885047	2.624715523899321	2.5131742736173437	2.8235711643434453	0.2182642462571854	2.2217289251093972	0.5562842774251195	0.05854619224178225	108.26838732691012	159.1274763132633	1429.7961331457666	-10508.003792279906	-29885.547690129584	-18307.144871541015
